codice_provincia,province,popolazione
55017,Montecastrilli,5055
54051,Spoleto,37855
54052,Todi,16434
54053,Torgiano,6607
54054,Trevi,8349
54056,Umbertide,16645
54057,Valfabbrica,3361
54044,San Giustino,11227
55007,Baschi,2673
55010,Castel Viscardo,2861
55023,Orvieto,20148
55028,Porano,1945
55029,San Gemini,4938
55030,San Venanzo,2198
55031,Stroncone,4781
55032,Terni,110749
55001,Acquasparta,4670
54017,Deruta,9705
54002,Bastia Umbra,21781
54003,Bettona,4347
54007,Cascia,3099
54009,Castiglione del Lago,15423
54012,Città della Pieve,7709
54013,Città di Castello,39439
54041,Pietralunga,2057
55022,Narni,19055
54001,Assisi,28314
54018,Foligno,57059
54020,Fratta Todina,1855
54024,Gubbio,31547
54026,Magione,14802
54027,Marsciano,18574
54035,Norcia,4815
54039,Perugia,165956
54015,Corciano,21391
54023,Gualdo Tadino,14949
54014,Collazzone,3448
54046,Scheggia e Pascelupo,1333
55004,Amelia,11819
55018,Montecchio,1640
54004,Bevagna,4955
54011,Citerna,3432
54022,Gualdo Cattaneo,5892
54038,Passignano sul Trasimeno,5672
55005,Arrone,2715
55009,Castel Giorgio,2105
54059,Valtopina,1351
54049,Sigillo,2366
54016,Costacciaro,1159
55002,Allerona,1763
54021,Giano dell'Umbria,3858
54028,Massa Martana,3673
54037,Panicale,5515
54050,Spello,8565
54034,Nocera Umbra,5672
55014,Giove,1897
54040,Piegaro,3549
55003,Alviano,1438
55019,Montefranco,1283
54043,Preci,700
54005,Campello sul Clitunno,2354
54008,Castel Ritaldi,3209
55012,Ferentillo,1859
55016,Lugnano in Teverina,1434
55008,Calvi dell'Umbria,1784
54029,Monte Castello di Vibio,1514
54030,Montefalco,5535
54031,Monteleone di Spoleto,582
54032,Monte Santa Maria Tiberina,1156
54033,Montone,1618
54036,Paciano,979
54042,Poggiodomo,100
54045,Sant'Anatolia di Narco,563
54006,Cannara,4355
54010,Cerreto di Spoleto,1038
54025,Lisciano Niccone,602
54019,Fossato di Vico,2708
54048,Sellano,1027
55024,Otricoli,1798
55015,Guardea,1780
55020,Montegabbione,1191
55021,Monteleone d'Orvieto,1434
55011,Fabro,2752
55025,Parrano,505
55026,Penna in Teverina,1068
55027,Polino,226
55033,Avigliano Umbro,2473
54055,Tuoro sul Trasimeno,3786
55013,Ficulle,1618
54047,Scheggino,463
55006,Attigliano,1978
54058,Vallo di Nera,353
